ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
"20","BMGPM_AD2188_018_ELECTRIC_NOCTURNE___BEAZLEY.WAV","BMGPM_AD2188_018_ELECTRIC_NOCTURNE___BEAZLEY.WAV","BMGPM_AD2188_018_ELECTRIC_NOCTURNE___BEAZLEY.WAV","A10","00:01:43:24","00:02:15:10","00:00:31:11","00:00:07:12","00:00:38:23","*EFF2_IO_CHANNEL_COMBINER",""
"21","BMGPM_NLM026_014_SLEEP_WALKER_EDIT__WHITE.WAV","BMGPM_NLM026_014_SLEEP_WALKER_EDIT__WHITE.WAV","BMGPM_NLM026_014_SLEEP_WALKER_EDIT__WHITE.WAV","A9","00:02:25:11","00:03:25:24","00:01:00:13","00:00:00:00","00:01:00:13","*EFF2_IO_CHANNEL_COMBINER",""
"22","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","A9","00:03:33:23","00:03:34:24","00:00:01:01","00:00:00:00","00:00:01:01","*EFF2_IO_CHANNEL_COMBINER",""
"23","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","A9","00:03:35:01","00:03:36:02","00:00:01:01","00:00:01:01","00:00:02:02","*EFF2_IO_CHANNEL_COMBINER",""
"24","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","A9","00:03:36:02","00:03:36:22","00:00:00:20","00:00:02:02","00:00:02:22","*EFF2_IO_CHANNEL_COMBINER",""
"25","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","A9","00:03:37:09","00:03:37:12","00:00:00:03","00:00:02:22","00:00:03:00","*EFF2_IO_CHANNEL_COMBINER",""
"26","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","A9","00:03:37:12","00:03:39:05","00:00:01:18","00:00:03:00","00:00:04:18","*EFF2_IO_CHANNEL_COMBINER",""
"27","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","A9","00:03:40:12","00:03:40:16","00:00:00:04","00:00:05:10","00:00:05:14","*EFF2_IO_CHANNEL_COMBINER",""
"28","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","A9","00:03:40:16","00:03:42:24","00:00:02:08","00:00:05:14","00:00:07:22","*BLEND,-IO-DISSOLVE","TO CLIP NAME:  BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV"
"29","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","A9","00:03:42:24","00:03:47:21","00:00:04:22","00:00:07:22","00:00:12:19","*EFF2_IO_CHANNEL_COMBINER",""
"30","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","A9","00:03:47:22","00:03:58:16","00:00:10:19","00:00:12:19","00:00:23:13","*EFF2_IO_CHANNEL_COMBINER",""
"31","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","BMGPM_ISC047_003_A_GROWING_IDEA___SABAN.WAV","A10","00:03:58:16","00:04:00:02","00:00:01:11","00:00:44:07","00:00:45:18","*EFF2_IO_CHANNEL_COMBINER",""
"32","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","A9","00:04:03:02","00:04:09:09","00:00:06:07","01:04:37:02","01:04:43:09","*EFF2_IO_CHANNEL_COMBINER",""
"33","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","A9","00:04:09:09","00:04:26:03","00:00:16:19","01:04:43:09","01:05:00:03","*EFF2_IO_CHANNEL_COMBINER",""
"34","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","A9","00:04:30:11","00:04:51:15","00:00:21:04","01:05:12:24","01:05:34:03","*EFF2_IO_CHANNEL_COMBINER",""
"35","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","A10","00:04:58:09","00:04:58:18","00:00:00:09","01:05:25:18","01:05:26:02","*EFF2_IO_CHANNEL_COMBINER",""
"36","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","A10","00:04:58:18","00:05:02:10","00:00:03:17","01:05:26:05","01:05:29:22","*EFF2_IO_CHANNEL_COMBINER",""
"37","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","BMGPM_ME0224_011_HIDE_AND_SEEK___SPOSITO.WAV","A10","00:05:02:10","00:05:07:01","00:00:04:16","01:05:55:03","01:05:59:19","*EFF2_IO_CHANNEL_COMBINER",""
"38","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","A11","00:05:07:15","00:05:10:21","00:00:03:06","00:59:59:13","01:00:02:19","*EFF2_IO_CHANNEL_COMBINER",""
"39","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","A10","00:05:09:15","00:05:13:05","00:00:03:15","01:01:01:22","01:01:05:12","*BLEND,-IO-DISSOLVE",""
"40","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","A10","00:05:13:05","00:05:20:16","00:00:07:11","01:01:05:12","01:01:12:23","*EFF2_IO_CHANNEL_COMBINER",""
"41","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","A9","00:05:20:19","00:05:21:14","00:00:00:20","01:02:52:03","01:02:52:23","*BLEND,-IO-DISSOLVE",""
"42","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","BMGPM_SUPITH2150_008_ONWARD___VIALLET.WAV","A9","00:05:21:14","00:05:22:21","00:00:01:07","01:02:52:23","01:02:54:05","*EFF2_IO_CHANNEL_COMBINER",""
"43","15_THE_DOUBLE_THEME_(VERSION_2).M4A","15 THE DOUBLE THEME (VERSION 2)","","A11","00:05:26:04","00:05:38:24","00:00:12:20","00:00:06:09","00:00:19:04","*EFF2_IO_CHANNEL_COMBINER",""
"44","15_THE_DOUBLE_THEME_(VERSION_2).M4A","15 THE DOUBLE THEME (VERSION 2)","","A10","00:05:30:14","00:05:55:05","00:00:24:16","00:00:00:00","00:00:24:16","*EFF2_IO_CHANNEL_COMBINER",""
"45","15_THE_DOUBLE_THEME_(VERSION_2).M4A","15 THE DOUBLE THEME (VERSION 2)","","A10","00:05:55:05","00:05:56:20","00:00:01:15","00:00:24:16","00:00:26:06","*BLEND,-IO-DISSOLVE","TO CLIP NAME:  15 THE DOUBLE THEME (VERSION 2)"
"46","15_THE_DOUBLE_THEME_(VERSION_2).M4A","15 THE DOUBLE THEME (VERSION 2)","","A10","00:05:56:20","00:06:25:23","00:00:29:03","00:00:26:06","00:00:55:09","*EFF2_IO_CHANNEL_COMBINER",""
"47","15_THE_DOUBLE_THEME_(VERSION_2).M4A","15 THE DOUBLE THEME (VERSION 2)","","A11","00:06:25:07","00:06:48:11","00:00:23:04","00:01:36:13","00:01:59:17","*EFF2_IO_CHANNEL_COMBINER",""
"48","15_THE_DOUBLE_THEME_(VERSION_2).M4A","15 THE DOUBLE THEME (VERSION 2)","","A10","00:06:48:10","00:06:48:20","00:00:00:10","00:02:53:05","00:02:53:15","*BLEND,-IO-DISSOLVE",""
"49","15_THE_DOUBLE_THEME_(VERSION_2).M4A","15 THE DOUBLE THEME (VERSION 2)","","A10","00:06:48:20","00:07:24:00","00:00:35:05","00:02:53:15","00:03:28:20","*EFF2_IO_CHANNEL_COMBINER",""
"50","12_I_AM_A_GHOST.M4A","12 I AM A GHOST","","A9","00:07:13:08","00:07:25:01","00:00:11:18","00:00:00:00","00:00:11:18","*EFF2_IO_CHANNEL_COMBINER",""
"51","12_I_AM_A_GHOST.M4A","12 I AM A GHOST","","A10","00:07:25:04","00:07:33:17","00:00:08:13","00:01:26:04","00:01:34:17","*EFF2_IO_CHANNEL_COMBINER",""
"52","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:08:06:19","00:08:11:01","00:00:04:07","00:00:00:00","00:00:04:07","*EFF2_IO_CHANNEL_COMBINER",""
"53","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:08:11:01","00:08:12:16","00:00:01:15","00:00:04:07","00:00:05:22","*BLEND,-IO-DISSOLVE","TO CLIP NAME:  BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV"
"54","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:08:12:16","00:08:21:05","00:00:08:14","00:00:05:22","00:00:14:11","*EFF2_IO_CHANNEL_COMBINER",""
"55","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:08:21:05","00:08:22:20","00:00:01:15","00:00:14:11","00:00:16:01","*BLEND,-IO-DISSOLVE","TO CLIP NAME:  BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV"
"56","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:08:22:20","00:09:01:05","00:00:38:10","00:00:16:01","00:00:54:11","*EFF2_IO_CHANNEL_COMBINER",""
"57","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:09:01:05","00:09:02:20","00:00:01:15","00:00:54:11","00:00:56:01","*BLEND,-IO-DISSOLVE","TO CLIP NAME:  BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV"
"58","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:09:02:20","00:09:03:21","00:00:01:01","00:00:56:01","00:00:57:02","*EFF2_IO_CHANNEL_COMBINER",""
"59","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:09:03:21","00:09:06:01","00:00:02:05","00:00:57:02","00:00:59:07","*EFF2_IO_CHANNEL_COMBINER",""
"60","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:10:04:01","00:10:05:16","00:00:01:15","00:01:36:09","00:01:37:24","*BLEND,-IO-DISSOLVE",""
"61","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:10:05:16","00:10:12:05","00:00:06:14","00:01:37:24","00:01:44:13","*EFF2_IO_CHANNEL_COMBINER",""
"62","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:10:12:05","00:10:15:06","00:00:03:01","00:01:44:13","00:01:47:14","*BLEND,-IO-DISSOLVE","TO CLIP NAME:  BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV"
"63","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","BMGPM_CEZ4546_002_FLOW_OF_LIFE___BACHELIER.WAV","A9","00:10:15:06","00:10:50:19","00:00:35:13","00:01:47:14","00:02:23:02","*EFF2_IO_CHANNEL_COMBINER",""
"64","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","A9","00:10:50:19","00:11:31:09","00:00:40:15","00:00:00:01","00:00:40:16","*EFF2_IO_CHANNEL_COMBINER",""
"65","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","A10","00:12:04:12","00:12:08:10","00:00:03:23","00:01:47:05","00:01:51:03","*EFF2_IO_CHANNEL_COMBINER",""
"66","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","A10","00:12:08:10","00:12:10:08","00:00:01:23","00:01:51:03","00:01:53:01","*BLEND,-IO-DISSOLVE","TO CLIP NAME:  BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV"
"67","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","BMGPM_ISC009_001_A_CRUCIAL_MOMENT___SABAN.WAV","A10","00:12:10:08","00:12:17:12","00:00:07:04","00:01:53:01","00:02:00:05","*EFF2_IO_CHANNEL_COMBINER",""
"68","BMGPM_ME0016_036_SUSPICIOUS_TOYS___GALEY_LOCASCIULLI_PALLOTTI.WAV","BMGPM_ME0016_036_SUSPICIOUS_TOYS___GALEY_LOCASCIULLI_PALLOTTI.WAV","BMGPM_ME0016_036_SUSPICIOUS_TOYS___GALEY_LOCASCIULLI_PALLOTTI.WAV","A9","00:12:20:09","00:12:28:24","00:00:08:15","00:22:23:19","00:22:32:09","*EFF2_IO_CHANNEL_COMBINER",""
"69","BMGPM_ME0016_036_SUSPICIOUS_TOYS___GALEY_LOCASCIULLI_PALLOTTI.WAV","BMGPM_ME0016_036_SUSPICIOUS_TOYS___GALEY_LOCASCIULLI_PALLOTTI.WAV","BMGPM_ME0016_036_SUSPICIOUS_TOYS___GALEY_LOCASCIULLI_PALLOTTI.WAV","A9","00:12:35:17","00:12:56:11","00:00:20:19","00:22:33:00","00:22:53:19","*EFF2_IO_CHANNEL_COMBINER",""
"70","BMGPM_ME0016_036_SUSPICIOUS_TOYS___GALEY_LOCASCIULLI_PALLOTTI.WAV","BMGPM_ME0016_036_SUSPICIOUS_TOYS___GALEY_LOCASCIULLI_PALLOTTI.WAV","BMGPM_ME0016_036_SUSPICIOUS_TOYS___GALEY_LOCASCIULLI_PALLOTTI.WAV","A9","00:13:01:14","00:13:21:13","00:00:19:24","00:23:35:20","00:23:55:19","*EFF2_IO_CHANNEL_COMBINER",""
