TC in,Duur,Bestandsnaam,Omschrijving,Link,Bron,kosten,rechten / contact,to do,Bron in beeld,Aftiteling,,
,,WI_Protest_Groenland_Kopenhagen_4631389_HZ_Denmark_Greenland_Protest_Caps_1080i50ESSENCE.mp4,protest denemarken,https://newsroom.ap.org/detail/MakeAmericaGoAwayDanishprotestersmockMAGAhatsatGreenlandrallies/4702e8c0a555403b971649cc6f9c35de/video?vs=false&currentItemNo=3&startingItemNo=0,AP,,,,,,,
,,WI_Protest_Groenland_Kopenhagen_AP_sth110572_Denmark_Thousands_of_Danes_Greenlanders_gather_in__1080i50ESSENCE.mp4,protest denemarken,https://newsroom.ap.org/detail/DenmarkThousandsofDanesGreenlandersgatherinprotestagainstUSthreats/9d890b75ce8d4fb0b6ae65bf72bd8fea/video?vs=false&currentItemNo=48&startingItemNo=0,AP,,,,,,,
,,,protest tegen trump,https://www.reutersconnect.com/all?id=tag%3Areuters.com%2C2026%3Anewsml_RW735216012026RP1%3A7&media-types=vid&search=all%3Agreenland,Reuters connect,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Groenland - USA leger /  Thule / Pituffik ,,,,,,,,,
,,,USA in groenland defensie,https://www.dvidshub.net/search/2.0?q=greenland&type=video,US Defence,,,,,,,
,,WI_Groenland_USA-basis_02-3-2025_DOD_110831914-1920x1080-9000k.mp4, feb 2025 groenland vliegtuig US 50th ARS supports Operation NOBLE DEFENDER,https://www.dvidshub.net/video/953675/50th-ars-supports-operation-noble-defender,US Defence,,,,,,,
,,WI_Groenland_USA_Pituffik-basis_2024_DOD_110461448-1920x1080-9000k.mp4,groenland 2024 usa defensie Pituffik Space Base b-roll,https://www.dvidshub.net/video/931531/pituffik-space-base-b-roll,US Defence,,,,,,,
,,,danish NATO in groenland,https://www.dvidshub.net/video/888451/arctic-security-patrolling-natos-high-north-master,US Defence,,,,,,,
,,," Colorado air fly near Canadian Forces Base Goose Bay during exercise Amalgam Dart 21-02, March 21, 2021",https://www.dvidshub.net/video/788725/amalgam-dart-21-2-b-roll-footage-21mar2021,US Defence,,,,,,,
,,WI_Groenland_USA-defence_DOD_108721099-1920x1080-9000k.mp4,"LC-130 Take Off in Greenland, USA.",https://www.dvidshub.net/video/824663/lc-130-take-off-greenland,US Defence,,,,,,,
,,WI_Groenland_USA-defence_DOD_108863247.mp4,video paar sec; Operation Noble Defender. US / Canada vliegtuigen boven groenland,https://www.dvidshub.net/video/834977/operation-noble-defender,US Defence,,,,,,,
,,WI_Groenland_USA-defence_DOD_108863243-1920x1080-9000k.mp4,Operation Noble Defender refueling boven groenland US / Canada,https://www.dvidshub.net/video/834975/operation-noble-defender,US Defence,,,,,,,
