ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
"21","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:00:36:05","00:00:44:24","00:00:08:19","16:59:12:00","16:59:20:19","","IMAGE, FRAMEFLEX"
"22","UNNAMED","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","V1","00:00:44:24","00:00:47:05","00:00:02:06","00:02:21:01","00:02:23:07","","AVX2 EFFECT, 3DWARP"
"23","UNNAMED","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","V1","00:00:47:05","00:00:49:09","00:00:02:04","00:02:32:14","00:02:34:18","","AVX2 EFFECT, 3DWARP"
"24","UNNAMED","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","V1","00:00:49:09","00:00:50:21","00:00:01:12","00:03:34:05","00:03:35:17","","AVX2 EFFECT, 3DWARP"
"25","UNNAMED","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","V1","00:00:50:21","00:00:52:05","00:00:01:09","00:03:45:11","00:03:46:20","","AVX2 EFFECT, 3DWARP"
"26","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:00:52:05","00:00:54:14","00:00:02:09","16:33:24:16","16:33:27:00","","IMAGE, FRAMEFLEX"
"27","UNNAMED","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","V1","00:00:54:14","00:00:55:14","00:00:01:00","01:05:03:20","01:05:04:20","","AVX2 EFFECT, 3DWARP"
"28","SIGNATURE_SOURCE_MOB","TL_DE NIEUWE ELITE_CLEAN VERSION,VIDEO MIXDOWN,4","","V1","00:00:55:14","00:00:56:14","00:00:01:00","00:04:28:09","00:04:29:09","",""
"29","SIGNATURE_SOURCE_MOB","TL_DE NIEUWE ELITE_CLEAN VERSION,VIDEO MIXDOWN,4","","V1","00:00:56:14","00:00:57:05","00:00:00:16","00:03:51:17","00:03:52:08","",""
"30","UNNAMED","TL_REINIER_PRULLENBAK_PEXELS.MP4","TL_REINIER_PRULLENBAK_PEXELS.MP4","V1","00:00:57:05","00:00:58:02","00:00:00:22","00:00:01:01","00:00:01:23","",""
