ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
472,AX,WNL_OP_ZONDAG-WON02614908_39410000_39463000.mxf,WNL_OP_ZONDAG-WON02614908_39410000_39463000.mxf,V1,00:23:03:09,00:23:07:16,00:00:04:07,10:57:15:22,10:57:20:04,,
473,AX,WNL_OP_ZONDAG-WON02614908_39410000_39463000.mxf,WNL_OP_ZONDAG-WON02614908_39410000_39463000.mxf,V1,00:23:07:16,00:23:09:24,00:00:02:08,10:57:20:04,10:57:22:12,,
474,AX,IJSLAND1520.MXF,IJSLAND1520.MXF,V1,00:23:09:24,00:23:14:13,00:00:04:14,13:00:33:00,13:00:37:14,,
475,AX,IJSLAND1520.MXF,IJSLAND1520.MXF,V1,00:23:14:13,00:23:18:15,00:00:04:02,13:00:37:14,13:00:41:16,,
476,AX,IJSLAND1520.MXF,IJSLAND1520.MXF,V1,00:23:18:15,00:23:19:14,00:00:00:24,13:00:41:16,13:00:42:15,,
477,AX,IJSLAND1520.MXF,IJSLAND1520.MXF,V1,00:23:19:14,00:23:22:12,00:00:02:23,13:03:58:01,13:04:00:24,,
478,AX,IJSLAND1520.MXF,IJSLAND1520.MXF,V1,00:23:22:12,00:23:32:00,00:00:09:13,13:04:04:09,13:04:13:22,,
479,AX,IJSLAND1520.MXF,IJSLAND1520.MXF,V1,00:23:32:00,00:23:38:01,00:00:06:01,13:04:25:01,13:04:31:02,,
480,AX,IJSLAND1520.MXF,IJSLAND1520.MXF,V1,00:23:38:01,00:23:40:16,00:00:02:15,13:08:33:17,13:08:36:07,,
481,AX,IJSLAND1520.MXF,IJSLAND1520.MXF,V1,00:23:40:16,00:24:09:15,00:00:28:24,13:04:35:01,13:05:04:00,,
482,AX,IJSLAND1501.MXF,IJSLAND1501.MXF,V1,00:24:09:15,00:24:11:14,00:00:01:24,12:29:56:24,12:29:58:23,,
483,AX,IJSLAND1494.MXF,IJSLAND1494.MXF,V1,00:24:11:14,00:24:12:22,00:00:01:08,12:02:58:22,12:03:00:05,,
484,AX,IJSLAND1495.MXF,IJSLAND1495.MXF,V1,00:24:12:22,00:24:15:07,00:00:02:10,12:03:22:00,12:03:24:10,,
485,AX,A003C002_2602044B.MXF,A003C002_2602044B.MXF,V1,00:24:15:07,00:24:24:11,00:00:09:04,11:24:10:01,11:24:19:05,,
